"contamination_level","ctam_sigma","ctam_mu","cook_cutoff","ctam_rho","robust_m_est_bias","robust_m_est_variance","robust_m_est_mse","robust_mm_est_bias","robust_mm_est_variance","robust_mm_est_mse","robust_s_est_bias","robust_s_est_variance","robust_s_est_mse","ols_est_bias","ols_est_variance","ols_est_mse","ols_diag_est_bias","ols_diag_est_variance","ols_diag_est_mse","ols_mspe","robust_m_mspe","robust_mm_mspe","robust_s_mspe","ols_diag_mspe"
0,1,0,4,1,3.31900547825683e-06,0.0220410489417016,0.021956203751413,6.79811383719502e-06,0.0223996552768919,0.0223168547696215,4.7028269123939e-05,0.0781484460241788,0.0778828805092061,4.39670815883153e-06,0.0212100768754174,0.0211296332760745,3.64965454041236e-05,0.0274228452355543,0.0273496504000162,1.06198458786816,1.06565243703645,1.06851685402711,1.2227510943104,1.07860855876144
0.1,1,0,4,-1,0.0060556455797236,0.0241398111193152,0.0300988974545616,0.00578286428055711,0.0248217507265418,0.0305053280041928,0.00340736715507418,0.0727494216366861,0.0758657911052135,0.00710820101799915,0.0233980066907752,0.0304126156820113,0.00309915615510605,0.029681876243033,0.0326623048931669,1.11719349585073,1.1161724833483,1.11695826064921,1.25230266169083,1.12299474976156
0.1,1,0,4,-0.8,0.00431090348635026,0.0248417724190276,0.0290533088157017,0.00260839980416462,0.0254035900538642,0.0279103754978133,0.000348268806577923,0.0795353102040049,0.0795654377697668,0.0089159790086173,0.0293378633024592,0.0381364908578667,0.00218087549931474,0.0313365525326174,0.0333920818218017,1.12196361446539,1.10176853508479,1.09980885693895,1.24717881425997,1.11550161732442
0.1,1,0,4,-0.6,0.00414864472228065,0.0275578531096074,0.0315962664194496,0.00208034554373136,0.0280450967620365,0.0300132619187198,0.00110066393670923,0.0730257499673727,0.0738343109042124,0.0113259047850793,0.0357885232575407,0.0469712739495899,0.00237105605903668,0.0301345840115891,0.0323851017345794,1.10920078130856,1.08073608817728,1.08057053214196,1.2281372454854,1.08861794439306
0.1,1,0,4,-0.4,0.00766791064444684,0.030082305183557,0.0376298866072696,0.00380694570507034,0.0304027128521489,0.0340880477058107,0.00129834223173268,0.0725602818679887,0.0735683829722494,0.0223730373606802,0.0442348555431468,0.0664309534816544,0.0033594478468057,0.0321533210402818,0.0353841556029263,1.17479459380359,1.11094138805102,1.10504821280722,1.22215317976878,1.11161993955574
0.1,1,0,4,-0.2,0.00673138330653318,0.0308556884476013,0.0374636490003441,0.00164124480098611,0.0287297300174015,0.030256055898318,0.000121973352425256,0.0710082016156136,0.0708461421615764,0.0290514530872365,0.0524003331123742,0.0812421848671611,0.00298809476889668,0.0332003114157027,0.0360556049389366,1.21614682657448,1.11344707290084,1.09710724941026,1.20408221031271,1.11071614472231
0.1,1,0,4,0,0.0103444053109359,0.0396335218905148,0.0498193931138886,0.001997517082442,0.0340563390556818,0.035917630781901,0.000324837061852691,0.0836687892168454,0.0836589511218307,0.0456357440784917,0.0673381703809061,0.112704561777874,0.00381750915569669,0.0376101010766081,0.0412771698279983,1.28945413538712,1.14331889402418,1.10809047476954,1.24088235514417,1.12379842537369
0.1,1,0,4,0.2,0.0172483964700104,0.0341368592816349,0.0512487083145188,0.00326567606732041,0.0302692538440835,0.0334138528960276,0.000851781963571456,0.0686810220216278,0.0692580798971127,0.077898540479568,0.0704142604193567,0.148031143857247,0.00718493588273296,0.0325314168454807,0.0395862270608317,1.33710785194709,1.12725039477401,1.08779983087622,1.20801349728001,1.10247816445458
0.1,1,0,4,0.4,0.0154236670666317,0.0320753711148134,0.0473707366969858,0.00335775151605482,0.0315535873939399,0.034785124560419,0.000254859579711914,0.0720945550169981,0.072061036376642,0.0760118904840626,0.068442158262737,0.144180280113749,0.00537065014140726,0.0313676965371273,0.036612875892386,1.35705856987168,1.13371764104841,1.10398198915319,1.21635396936171,1.11036183261735
0.1,1,0,4,0.6,0.0190763130004944,0.0333235902580086,0.052266608897471,0.00179392206612669,0.0272735735511035,0.0289584013230258,0.000597199498969783,0.0690888496828582,0.0694096937830966,0.12026422500577,0.0881532703642658,0.208064882288579,0.00715403243304723,0.0334509495037659,0.0404711781387981,1.45899601281073,1.1298860327137,1.08544230753184,1.21564620065194,1.1094101507065
