"","true_beta_1","contamination_level","ctam_sigma","ctam_mu","cook_cutoff","ols_pr","ols_diag_pr","robust_m_pr","robust_mm_pr","robust_s_pr"
"136",0.9,0.4,0,0,4,1,1,1,1,1
"137",0.9,0.4,1,0,4,1,1,1,1,0.99
"138",0.9,0.4,2,0,4,1,1,1,0.995,0.915
"139",0.92,0.4,0,0,4,1,1,1,1,1
"140",0.92,0.4,1,0,4,1,1,1,1,1
"141",0.92,0.4,2,0,4,1,1,1,1,0.945
"142",0.94,0.4,0,0,4,1,1,1,1,1
"143",0.94,0.4,1,0,4,1,1,1,1,1
"144",0.94,0.4,2,0,4,1,1,1,1,0.97
"145",0.96,0.4,0,0,4,1,1,1,1,1
"146",0.96,0.4,1,0,4,1,1,1,1,1
"147",0.96,0.4,2,0,4,1,1,1,1,0.94
"148",0.98,0.4,0,0,4,1,1,1,1,1
"149",0.98,0.4,1,0,4,1,1,1,1,1
"150",0.98,0.4,2,0,4,1,1,1,1,0.95
"151",1,0.4,0,0,4,1,1,1,1,1
"152",1,0.4,1,0,4,1,1,1,1,1
"153",1,0.4,2,0,4,1,1,1,1,0.96
