"n","p_n","p","contamination_level","ctam_sigma","ctam_mu","cook_cutoff","robust_m_est_bias","robust_m_est_variance","robust_m_est_mse","robust_mm_est_bias","robust_mm_est_variance","robust_mm_est_mse","robust_s_est_bias","robust_s_est_variance","robust_s_est_mse","ols_est_bias","ols_est_variance","ols_est_mse","ols_diag_est_bias","ols_diag_est_variance","ols_diag_est_mse","ols_mspe","robust_m_mspe","robust_mm_mspe","robust_s_mspe","ols_diag_mspe"
50,0.7,35,0.1,1,0,4,0.00311988530365301,0.22311165682511,0.225339095501462,48.2288653638917,11891.668523438,11892.3307147082,247.498423693844,60224.3088407909,60230.9100291215,0.00408353845168504,0.223818113287551,0.227006379286086,NA,NA,NA,9.00484857677822,8.89649811709548,580589.499343327,2225838.17538569,NA
50,0.7,35,0.2,1,0,4,0.0126125005744987,0.358935722871905,0.370112480554916,4.12567914956932,1162.97072712198,1162.44452336306,3.42240219389501,718.842340601175,719.389373432665,0.0137447568435911,0.330634997759126,0.343057214611681,NA,NA,NA,13.2153444770125,14.1937659523667,36990.8630306965,19422.2179368711,NA
50,0.7,35,0.3,1,0,4,0.0233019474129138,0.490655602372528,0.511994927375951,9.64873258990504,1837.70515077798,1840.00306276477,2.63596227183503,721.640417746687,721.389818347535,0.0253159005375546,0.433231812073705,0.456814785362964,NA,NA,NA,17.596984866942,19.5180289085846,84285.5547816904,25550.8304335349,NA
50,0.7,35,0.4,1,0,4,0.0425142306021123,0.594948623255336,0.635083059364427,3.77342028724273,990.628307940286,990.439214995767,8.22637305398499,3381.86681905697,3376.56572483473,0.0413749582407871,0.534975624558643,0.574210680301195,NA,NA,NA,21.894219787404,24.0896291882958,39870.6905229069,123637.2461517,NA
50,0.7,35,0.5,1,0,4,0.0736981274860826,0.669844888386214,0.740863636318752,2568.84394312337,584030.4798055,584263.201829402,273.942357322064,73418.4585510531,73398.727074171,0.0750525591070612,0.617413378537114,0.689996284130026,NA,NA,NA,26.0350041310322,28.049719843444,22160816.7797235,2649347.81849719,NA
50,0.9,45,0,1,0,4,0.00133993538355941,0.386431599000614,0.38622580798817,26.0330534184128,7432.76924912116,7429.07122554309,0.323348456062653,67.9284882120786,67.9801227152929,0.000892598905280784,0.329218030482237,0.328793757265588,NA,NA,NA,16.1767872332989,18.8882142437574,275350.605687046,3551.09305770516,NA
50,0.9,45,0.1,1,0,4,0.00663603995192149,1.39341765179413,1.39448002113887,2.22052562364725,521.854664181014,521.987771147937,866.87073629183,217195.100815538,217193.191148568,0.00496074020631018,1.09259476395722,1.0931851251077,NA,NA,NA,51.8304643361795,64.1804374819554,26491.4132094573,6776863.2665073,NA
50,0.9,45,0.2,1,0,4,0.0282358088869282,2.08410020586899,2.10399961393245,28479.5597686048,7127446.99211375,7127416.7639139,0.581257672826306,169.21468655535,169.119085481955,0.0265455480549713,1.81246703031848,1.83176271025218,NA,NA,NA,86.9631018358841,100.007884491541,341948512.649545,8071.29065907828,NA
50,0.9,45,0.3,1,0,4,0.03221673409511,3.13556032529553,3.15523481808946,15.3375281838958,3471.74492961744,3473.19547808287,14.0038364493762,3862.83110858875,3861.38362060377,0.0304891391448453,2.57985738772965,2.60002709732357,NA,NA,NA,118.636959491395,143.499875131011,173830.360023399,205914.739352798,NA
50,0.9,45,0.4,1,0,4,0.06224918749801,3.91194583315234,3.95854723731774,173.524994948629,44793.8795814613,44788.229058084,6.14635073616949,2757.01693992404,2752.13522290051,0.0616911993260846,3.22542516579838,3.27421466446127,NA,NA,NA,155.46688788331,188.744352259533,1796115.30458362,129440.193025476,NA
