"n","contamination_level","ctam_sigma","ctam_mu","cook_cutoff","ctam_rho","robust_m_est_bias","robust_m_est_variance","robust_mm_est_bias","robust_mm_est_variance","robust_s_est_bias","robust_s_est_variance","ols_est_bias","ols_est_variance","ols_diag_est_bias","ols_diag_est_variance","ols_mspe","robust_m_mspe","robust_mm_mspe","robust_s_mspe","ols_diag_mspe"
50,0.1,1,0,4,0.4,0.034128987421002,0.0582784532352293,0.00567851595124644,0.0580873027177437,0.00024737063350656,0.130962130667936,0.183742532693154,0.134393274499391,0.0129248127279364,0.0619327944745559,1.36956808154477,1.11528356447824,1.08201925359455,1.18109673059027,1.09659142730341
50,0.1,1,0,4,0.6,0.0364263246059231,0.0735606026097878,0.00270446321862409,0.0609763158042893,5.06176793378725e-05,0.127335856978283,0.224289390317593,0.170956322441001,0.0116529899049604,0.0660599242061926,1.42255422705574,1.12803651226446,1.08436284547516,1.20099777324189,1.09725064886957
50,0.1,1,0,4,0.8,0.0443347288482246,0.0760697084487508,0.00473846539242814,0.0602860856023369,0.00132947964185191,0.148553399111989,0.253246658477959,0.191943113022906,0.0159894516518295,0.0790366157974496,1.4970953711385,1.14724146973174,1.08861394403462,1.20014560989883,1.12321987419617
50,0.1,1,0,4,1,0.0507240532025111,0.0840546400781323,0.00522069596845367,0.062353482383686,0.000131675510820712,0.150802802974832,0.309580562164816,0.183711824893594,0.0225920739263052,0.0846441677507419,1.58230209612571,1.18320710806818,1.10544182504479,1.23434254827408,1.15368491579404
50,0.2,1,0,4,-1,0.0358244329536849,0.0438523710770386,0.0346202261631959,0.045529190444435,0.0170028360667645,0.153462235429312,0.0391147302136694,0.0405770655152872,0.0248478323624283,0.0566670565066392,1.10457628729147,1.10589821655993,1.1065126407486,1.25475145948556,1.11472823413771
50,0.2,1,0,4,-0.8,0.0296478604416923,0.0657359359086764,0.0229834230578202,0.0731191927751738,0.00685408610549096,0.170570515758812,0.0496540020978762,0.0717362385408191,0.0130964395357781,0.0694189603389328,1.13794503686795,1.11404365139471,1.11619759693251,1.24528326613204,1.1010875438632
50,0.2,1,0,4,-0.6,0.0462449677810163,0.0811733343838691,0.0267642823049513,0.0843414909683458,0.00240196976309739,0.176489164571037,0.098153205661964,0.100613661446804,0.0244997029823046,0.0821470911271243,1.23465124207832,1.15699863881063,1.1447890550905,1.25612579950951,1.13627510891751
50,0.2,1,0,4,-0.4,0.0579224920699918,0.0898710513462523,0.0265948702014509,0.0928037723006181,0.000743142421630215,0.166539939150452,0.146265403810961,0.12291702477624,0.0231966736050226,0.0832019142296976,1.32324244189675,1.18844891458345,1.15692406568383,1.24838758482785,1.1461118162376
50,0.2,1,0,4,-0.2,0.0888647699365011,0.0842473467394338,0.0345484153088041,0.0882994336247765,0.00556803400957565,0.177411111185531,0.237234554246429,0.124756491206781,0.0428993471067406,0.0825001070568272,1.39015820832214,1.19250617472166,1.14615572471433,1.25727396739758,1.14666281028332
50,0.2,1,0,4,0,0.124211619153013,0.106302214156056,0.0444434337191588,0.097458542041639,0.00383532628607778,0.156014885856978,0.36358900758349,0.169372695594636,0.0619301029037367,0.096158130036412,1.56704266284787,1.24563651985252,1.15884455095409,1.21358059121115,1.18355506207246
50,0.2,1,0,4,0.2,0.125783994003624,0.107933113808144,0.0320896380491306,0.0959742278625594,0.000984983305485908,0.159321936795342,0.401962878854883,0.183898446566343,0.0580853321507485,0.109843059470279,1.71537517393359,1.32442644100599,1.19990427601025,1.24617813730714,1.25207660984629
50,0.2,1,0,4,0.4,0.192174587046022,0.129170408063899,0.0543142867019379,0.117224467538054,0.00657877838950452,0.14516138387158,0.563680566480092,0.198423474417422,0.0919763594679808,0.116523008671226,1.79954007565173,1.34348174894781,1.19337280183919,1.21149772346094,1.23722942568343
50,0.2,1,0,4,0.6,0.231175018438203,0.146089095415862,0.045481571159432,0.103096659608766,0.00292166917694689,0.161363964433713,0.69530856171433,0.224563021333117,0.109758464462058,0.130558437390432,1.9977816519134,1.40438363662415,1.16404298637968,1.19866665646694,1.26212899448477
