"contamination_level","ctam_sigma","ctam_mu","cook_cutoff","ctam_rho","robust_m_est_bias","robust_m_est_variance","robust_m_est_mse","robust_mm_est_bias","robust_mm_est_variance","robust_mm_est_mse","robust_s_est_bias","robust_s_est_variance","robust_s_est_mse","ols_est_bias","ols_est_variance","ols_est_mse","ols_diag_est_bias","ols_diag_est_variance","ols_diag_est_mse","ols_mspe","robust_m_mspe","robust_mm_mspe","robust_s_mspe","ols_diag_mspe"
0,1,0,4,1,1.17593752925764e-05,0.0235167222102045,0.0234344146966563,3.94478726494537e-06,0.0244873536996538,0.0243933490721201,7.75244645253842e-05,0.0803098412324132,0.080066126332009,2.21324650730731e-06,0.0215665154745682,0.0214824626591772,2.46928251827673e-05,0.0315171212972482,0.031415745637242,1.07698367347478,1.08307648340688,1.08548663433596,1.2474393931313,1.10289290247988
0.1,1,0,4,-1,0.00717057399146799,0.0243740470470292,0.0314471248503091,0.00696278296818914,0.0250915771636702,0.0319539938232046,0.00274950908954752,0.0863523544282482,0.0887564541000827,0.00782895673172387,0.023470881832893,0.0312059550372853,0.00383673716300371,0.0309633666567601,0.0346762503531368,1.08720303765121,1.08833486017775,1.08913383255137,1.24047537438339,1.09741699111279
0.1,1,0,4,-0.8,0.00564546983237254,0.0273147097146649,0.0328509207081788,0.00388119388272536,0.0277489894783421,0.0315191874031541,0.00162100106604258,0.078962288878176,0.0802674407887059,0.0100110238596234,0.0315306863812167,0.0414155874953152,0.00294739161178452,0.0320431949300209,0.0348624137620853,1.10758836123846,1.08778198160763,1.0847093254526,1.23008081456656,1.09513544952552
0.1,1,0,4,-0.6,0.00510605514102616,0.0295599686297784,0.0345477838962854,0.00276424735617339,0.0300178808139814,0.0326620566468989,0.00116265947842653,0.0773155727167731,0.0781689699043325,0.0132235497277767,0.0388628967086672,0.0519309948496092,0.00258431186480029,0.035727265158505,0.0381686679626713,1.12685771260596,1.09406666617953,1.09349929994529,1.24752274349616,1.10291983216057
0.1,1,0,4,-0.4,0.00536954424265162,0.0318813605702288,0.0371233793705995,0.00185252088629097,0.0299616158190164,0.0316942902420313,0.00016263749764106,0.0771542005848363,0.077008221280138,0.0179264774992563,0.0472619914835433,0.0649994210168655,0.00244247671393419,0.033723349898047,0.036030933212389,1.16951866282922,1.10971506179984,1.10067927671776,1.22328302589536,1.10867496946168
0.1,1,0,4,-0.2,0.00707284379752272,0.0366325068798209,0.0435588206498243,0.00177745075980575,0.0343434675692624,0.0359835444587911,9.25159162905584e-05,0.0820000791636319,0.0817645947632679,0.0285286908781994,0.058813171767576,0.0871066099587052,0.00220127754558483,0.0364345081309412,0.0384900476440022,1.19862803563243,1.1031250600343,1.08749055277288,1.21879803641098,1.09357526116854
0.1,1,0,4,0,0.00951835243387755,0.0345189319693305,0.0438992086753308,0.00175409045964842,0.0317134842105454,0.0333407207333516,5.98865648286463e-05,0.0714013524576564,0.0711756336126544,0.0478233928423319,0.0652365455092894,0.112798992169584,0.00363913667799442,0.0331334240037427,0.0366400269857221,1.27044005680757,1.11080938579588,1.08744798561147,1.18973290655672,1.09555220615649
0.1,1,0,4,0.2,0.0153284921349099,0.0337274061722056,0.0489209886824267,0.00294050393558802,0.0308382441681911,0.0336553951271063,0.000254691716309077,0.0639607910927635,0.0639596396447015,0.0709046388888677,0.0736503707782225,0.144260408183977,0.00709292855322549,0.0330519470399529,0.0400126678050186,1.32896707075375,1.10888715621316,1.07634359099532,1.16049847881292,1.08977075578665
0.1,1,0,4,0.4,0.0170426362010974,0.0347807559641343,0.0516842691413751,0.00299338855668481,0.0301387972297786,0.0330116305975443,0.000764566083598245,0.0692994624380983,0.0697868306719441,0.0878648104315767,0.081864436522415,0.169401789207902,0.00622994030040014,0.0325494433131725,0.0386491858403199,1.37195069292053,1.12376432372019,1.08773095557523,1.20093073232111,1.10202095532341
0.1,1,0,4,0.6,0.0198838481440566,0.042248020354868,0.0619628764175051,0.00273609152917779,0.0320846567609172,0.0346924096630513,0.000378355922881403,0.0760364159353349,0.076110626194475,0.104931142746114,0.0909931975528356,0.195560367508738,0.00687548942650214,0.0384833785987823,0.0452049345108893,1.41157002340552,1.1247146273073,1.06860557716128,1.19164754266969,1.09560886629434
0.1,1,0,4,0.8,0.0220433373850191,0.0347010881679945,0.0566056212003416,0.00218899996321819,0.0300061373206194,0.0320751127345551,4.68036046092096e-05,0.0679944069839943,0.0677692329606675,0.13264933757599,0.0864822640245157,0.218785672544407,0.00799747018976486,0.0349647058667651,0.0428223172330629,1.48418694113156,1.13891437906717,1.09275012555884,1.20992323681074,1.11562812531135
0.1,1,0,4,1,0.0319127614378623,0.0428733598987732,0.0746146278970404,0.00362684319439246,0.0320714772462435,0.035570034531651,0.00080502077050935,0.0736469904230909,0.0741574232319079,0.17660447781495,0.10087052799168,0.277071523694664,0.0134263232225917,0.0420183241678778,0.0552765740937979,1.63582225334779,1.19476895494626,1.10777741602293,1.2237702486505,1.16268772758843
0.2,1,0,4,-1,0.0161282807779939,0.0221753545724677,0.0382149339321718,0.0157700048822318,0.0228537227425406,0.0385323127338023,0.0156142336501283,0.0811949282957715,0.0964843822327167,0.0178382310640289,0.0216670253380142,0.039418588300691,0.0108058941549933,0.0272185083391994,0.0379155284608359,1.10178932778639,1.10024795318592,1.1017603567835,1.26559707556424,1.10919104507437
0.2,1,0,4,-0.8,0.0162577642581293,0.0343193623104388,0.0504398491193263,0.0140805427240428,0.0363201127170413,0.0502553749902159,0.00656251093556905,0.10123326558705,0.107390843460271,0.0249178159842292,0.0356544421171671,0.0604296403329277,0.00983978575661447,0.0377480119414299,0.0474368056502787,1.1529658159003,1.135251742029,1.1369906056332,1.29848618334897,1.13769121124986
0.2,1,0,4,-0.6,0.0169315677964388,0.0421267763025696,0.058889836993798,0.00891063930968175,0.0450910683441346,0.0538213433804398,0.00209347990175042,0.0917086092501764,0.0934352547149261,0.0405835332917616,0.051960651988225,0.0923363426720337,0.00768885743716467,0.0411958962596941,0.04871997011182,1.20992731472809,1.14106457886043,1.13498296768801,1.25188945447616,1.12539319644221
0.2,1,0,4,-0.4,0.0282068272635873,0.0463385264584534,0.0743599996162069,0.013248018634396,0.0458168231882766,0.0588815745299196,0.000905163684667255,0.0881502824227902,0.0887028449777663,0.0739681662030543,0.0647582044445912,0.138467337829867,0.0122561147190064,0.0474805514157487,0.0595467439290921,1.35930158704238,1.20703076359623,1.16975516086621,1.26299183149682,1.17236168134512
0.2,1,0,4,-0.2,0.0383031134350081,0.0451441892897157,0.0832667259675649,0.013305977351235,0.0455179479325688,0.0586418534920735,0.000834668110684694,0.080373454484317,0.0808866287770644,0.113108274989991,0.0725937814489443,0.18541168131314,0.0183634471644781,0.0431550889429948,0.0613459157517009,1.4168545894973,1.19402429030243,1.14458771344153,1.2062970638535,1.15281579400355
