"n","contamination_level","ctam_df","cook_cutoff","robust_m_est_bias","robust_m_est_variance","robust_mm_est_bias","robust_mm_est_variance","robust_s_est_bias","robust_s_est_variance","ols_est_bias","ols_est_variance","ols_diag_est_bias","ols_diag_est_variance","ols_mspe","robust_m_mspe","robust_mm_mspe","robust_s_mspe","ols_diag_mspe","ols_est_mse","robust_m_est_mse","robust_mm_est_mse","robust_s_est_mse","ols_diag_est_mse"
200,0.2,1,4,-1.46254869249957,0.262446878750827,-0.207068567338319,0.0114965548434776,-0.0462323449009128,0.0151627524698141,-1.74625921423266,0.0801960032337533,-1.09131140392573,0.191327881716324,4.17948783553591,3.45153126781992,1.05219878663291,1.02485130918051,2.41706431055102,3.12921626651005,2.40018332228929,0.0543164636488042,0.017224368422502,1.38133182264609
200,0.2,2,4,-0.529129864974355,0.0698129826104259,-0.225270046605672,0.014991082312433,-0.0605225630119699,0.0213120056902224,-0.959453621747525,0.13641556287907,-0.416582667225963,0.0388185633709876,2.06313799925298,1.35264278871636,1.06206117545603,1.03397750868374,1.21053520603135,1.05628473734912,0.349442331705153,0.0656627207985924,0.0248684262953091,0.21216558918723
200,0.2,5,4,-0.321010899319286,0.0112873403044022,-0.23852993999216,0.0115395068140113,-0.0776856450979202,0.0194702604930464,-0.485719894380379,0.0195922680000003,-0.240130655265908,0.0097490334460113,1.24942019828043,1.10767113528087,1.06171358636893,1.03199721332999,1.06223067366856,0.255418122456887,0.114278901084657,0.0683783415526048,0.0254079686448612,0.0673630198772155
200,0.2,10,4,-0.270641561116072,0.00904320014349619,-0.21445884959544,0.0093175860690949,-0.063294100289272,0.0204247557742188,-0.396897679105078,0.0132433945277956,-0.202369429019168,0.0091912499914674,1.18005703180887,1.09193886886305,1.06551941489748,1.04366845412663,1.06027829797116,0.170704945234154,0.0822448387461232,0.0552635963085489,0.0243287751267761,0.050098679543054
200,0.2,20,4,-0.264370692363489,0.00764822927219784,-0.219432007394915,0.00810244044643293,-0.0849868037062151,0.020034167796297,-0.370934135088206,0.0115299975379599,-0.196732817794424,0.00802747759333063,1.15143894199139,1.07893988007662,1.05834084046439,1.04140715819018,1.04897231685861,0.149064480123906,0.0775018511065871,0.0562123341135628,0.0271567537615143,0.046691141802698
200,0.3,1,4,-1.74503300438945,0.102155960503888,-0.414831477529491,0.024950498393641,-0.107040303687826,0.0258304482987647,-1.85703570375515,0.033766466680959,-1.45929682220963,0.126318358526719,4.47551836739145,4.1413153922863,1.19439809740771,1.04158127872485,3.24910593498298,3.48217923936895,3.14678536710986,0.196910900650973,0.0371589226708528,2.2552339820452
200,0.3,2,4,-0.789985509476894,0.0663502820733044,-0.39067305620574,0.0207834357401417,-0.112911460595032,0.0251917934363904,-1.16848306214063,0.104434579599451,-0.635701457875087,0.0511573577362809,2.4806857227597,1.69351172060545,1.18334609063092,1.05507187646872,1.45955537422141,1.469265073211,0.690095635846406,0.173304955406574,0.0378148324029119,0.45501791449211
200,0.3,5,4,-0.480032295483386,0.0145456597477298,-0.380406972613289,0.0160046552287691,-0.113640327972121,0.0219309787013819,-0.660004994871498,0.0235896817909535,-0.378345340381666,0.0143971647730118,1.4926799401518,1.27381414669065,1.18723118742626,1.06645046580092,1.18353752218531,0.459078326637325,0.24490393615604,0.160634096765432,0.0347354479494863,0.157470375537665
200,0.3,10,4,-0.439533853915181,0.0142397739056361,-0.388625687525136,0.0164942365514498,-0.145048421620338,0.0282973086484419,-0.558354969233343,0.0147369561985512,-0.352079721939016,0.0133176101351684,1.33341791112566,1.2108226162745,1.17006646088284,1.05688972727381,1.14095358108824,0.326423543085126,0.20735858377364,0.167441690373077,0.0491948667197509,0.137211152685147
200,0.3,20,4,-0.389205732186021,0.0113371909842101,-0.349490667625006,0.0125889405859378,-0.107343563105667,0.0252697903907547,-0.492886682451392,0.012436715877243,-0.302553338594155,0.0112048918287634,1.27155769369273,1.17798262038993,1.14997063737407,1.06315958018129,1.1189547066147,0.255311814035796,0.162761606995746,0.134669722639981,0.0366660819790212,0.102687390064089
