"contamination_level","ctam_sigma","ctam_mu","cook_cutoff","ctam_rho","robust_m_est_bias","robust_m_est_variance","robust_mm_est_bias","robust_mm_est_variance","robust_s_est_bias","robust_s_est_variance","ols_est_bias","ols_est_variance","ols_diag_est_bias","ols_diag_est_variance","ols_mspe","robust_m_mspe","robust_mm_mspe","robust_s_mspe","ols_diag_mspe"
0,1,0,4,1,2.89204655768139e-05,0.0467809967201322,4.55572545976798e-05,0.0465442334047505,0.000141176953177677,0.143891247597424,3.58520006864452e-05,0.0444952185187066,0.00013628637026831,0.0573737922050614,1.04455140344676,1.04543495395783,1.04666335617584,1.18527198540847,1.05795914153551
0.1,1,0,4,-1,0.0120016359170799,0.0496901944596419,0.0120067243071843,0.0507098557157437,0.0096671807864949,0.165639675435258,0.0134099160865808,0.0472131606561122,0.00664026010890015,0.0617670549733801,1.10466602709818,1.10663285957226,1.10884553424694,1.25321272596325,1.1165789296038
0.1,1,0,4,-0.8,0.0066711989978447,0.0550130609748244,0.00383256767432191,0.0598394415288553,0.00108214162316229,0.146254939751938,0.0142099867644438,0.0596056974214222,0.00249277043623283,0.0589507473942032,1.10865173479379,1.09854070645614,1.10160074448552,1.23382796676712,1.10140689208916
0.1,1,0,4,-0.6,0.00748473013167295,0.0566581408899929,0.00328154859426457,0.0577895840748774,0.00177852800364951,0.171140417408821,0.0203571798919577,0.0728954606050393,0.00232650057980944,0.0650723952729505,1.10558754782919,1.0740081322319,1.07262519672551,1.23521887092418,1.07937537408445
0.1,1,0,4,-0.4,0.012249399128886,0.0591701187791286,0.00481368182392455,0.0582184084235256,0.000572462784306831,0.127899436400142,0.0411912348814625,0.0892360859348272,0.00523477424285488,0.0615819828812689,1.15106444121363,1.07965469533049,1.06871787688918,1.16906618724154,1.07868453711367
0.1,1,0,4,-0.2,0.0146215587857434,0.0696397866046136,0.00478296627976391,0.0649909023034878,0.00073398121078784,0.149484570963315,0.0558551081445986,0.109810092946431,0.00478420333661162,0.0681353429662016,1.20500746455302,1.10769079708994,1.08984783886505,1.18430388567329,1.0918974058764
0.1,1,0,4,0,0.0202790449469949,0.0724435444951729,0.00335824417990784,0.0691402487484907,1.80896911075263e-05,0.161947758518145,0.101531735743837,0.133642001571005,0.00755186685435978,0.069620804839919,1.24526312472074,1.09377380863131,1.07392400121803,1.21165240568947,1.07821881581578
0.1,1,0,4,0.2,0.0248293002025919,0.0754564228014433,0.00364928385559517,0.0634228365609705,0.000561808397503262,0.146036512295776,0.124980104479578,0.150267951573275,0.0110754311388088,0.0772975341820391,1.28896694041783,1.10641406112251,1.07485083945479,1.1816551708491,1.09885225058816
0.1,1,0,4,0.4,0.0355338015748371,0.0743827606018166,0.00507224355589694,0.0693201720061229,0.00173714017171829,0.144074686002217,0.196078312372537,0.165677584882716,0.0119427852331451,0.0723691648961415,1.39234070454208,1.12502680044498,1.09161204141633,1.19476079844512,1.10231984684056
0.1,1,0,4,0.6,0.0463507529213017,0.0702916553256057,0.00711214050109196,0.0622496978420351,0.00476078981107028,0.148455174814493,0.224341179593505,0.161267359894959,0.016929149759101,0.0679135609590037,1.45042481646638,1.14875783069677,1.09405229895464,1.20170371955139,1.11630299978223
0.1,1,0,4,0.8,0.0532033632732157,0.0739753077117347,0.00538225021907216,0.05966111740796,0.00232442318529714,0.150048222906558,0.309881612893676,0.186959159887967,0.0225270779132248,0.0787772918309433,1.57016443025445,1.16310853422883,1.08994551806023,1.21044970873747,1.13336444908694
0.1,1,0,4,1,0.0585090866518216,0.0861827175022223,0.00648019848498877,0.0695561747648822,0.000984039612615516,0.162677299340798,0.337386602585479,0.21025370520206,0.0239431304520357,0.0873477213732926,1.59010846551697,1.1622170315436,1.09155961786412,1.21982333635066,1.13284481448206
0.2,1,0,4,-1,0.0395609799706495,0.0491417544975978,0.0374885508280442,0.050847783888653,0.0259042610120513,0.139502688107759,0.0440185951754923,0.0460848688412827,0.0252135729807212,0.0582168407133848,1.0927318728962,1.09478688955146,1.09576279746441,1.21610121404721,1.09526521275654
0.2,1,0,4,-0.8,0.0276172044007658,0.0629183366217573,0.0206098023867072,0.0666050635418071,0.00597707121721439,0.177801093365581,0.0487877855162482,0.0655950288881985,0.0142676047827223,0.070661700080651,1.14200934840495,1.11182068992617,1.10726045143932,1.23659679464208,1.10646276959901
0.2,1,0,4,-0.6,0.0473899001955734,0.0844348014381327,0.0266582973314468,0.0834081049454591,0.00390156286044954,0.156435818263322,0.101320841339836,0.110056686547058,0.0225006892697595,0.0818462108083554,1.25079697039435,1.15652943433442,1.13313732980601,1.23372926666701,1.12854643757305
0.2,1,0,4,-0.4,0.0683703898496483,0.0945376080648685,0.0364110545417915,0.0980844169665191,0.00518260951218073,0.208613270682976,0.164788574181668,0.129248669162731,0.0320933498279139,0.0922880327763242,1.32701126544873,1.18963992731605,1.16517419319995,1.30559257105943,1.15935531300463
0.2,1,0,4,-0.2,0.0918549304453306,0.0934061146191384,0.0340353426245287,0.0834965651093818,0.00294626933487878,0.15899530823243,0.25595981754729,0.132953068036099,0.0495434861834008,0.0877567292794341,1.44840748599067,1.23062671479916,1.1666235178194,1.24805611981883,1.18994281785834
0.2,1,0,4,0,0.101064174762054,0.108126316804638,0.025364558670411,0.0982673310566624,0.0004668717113593,0.145242186735954,0.330896711812107,0.179349622105878,0.047518799771815,0.108092746066407,1.59426378451353,1.26169367651304,1.17047751776553,1.230177125943,1.20937009548507
0.2,1,0,4,0.2,0.1215577671828,0.122638281046972,0.0361242878879027,0.107124397504699,0.000159002050326408,0.203820498013861,0.367956513845887,0.205847302623032,0.0553168465539833,0.111074628959944,1.67909290138646,1.29944091101465,1.18122174531879,1.2596648793364,1.2269786930501
0.2,1,0,4,0.4,0.144045560413824,0.119860701610257,0.027010937571339,0.0999593494710625,0.000303387413294996,0.148480873533699,0.493796100474941,0.191450679436199,0.0679921630572327,0.117310367045101,1.76489077323545,1.30857515977435,1.16462629872543,1.21615766288024,1.23396667363679
0.2,1,0,4,0.6,0.194262617123428,0.11143901483957,0.0361163326077574,0.0913735468906419,0.00200592243169779,0.148350100682002,0.629400795977016,0.187895005248792,0.102579251086052,0.116116291537318,1.89154807938748,1.34640874590352,1.15677056824984,1.20393104044592,1.2734534531313
0.2,1,0,4,0.8,0.299438432156137,0.153744281043756,0.0462816240805657,0.112917122729634,0.00195677217407775,0.190640793895511,0.926492129213782,0.245385119355035,0.179998193492885,0.1542372335016,2.25610500786111,1.50859522041004,1.20634056055499,1.27445562795228,1.3986798555896
0.2,1,0,4,1,0.302251315872449,0.15798272045512,0.0457293011612995,0.117210429168965,0.00347228964497552,0.171514211093663,0.952228388133312,0.22209660275872,0.172575751119032,0.163485214891279,2.23726834165557,1.49134719250694,1.1860356747362,1.2148024752845,1.37499672804028
0.3,1,0,4,-1,0.0648303066893974,0.0461662787638958,0.0634914741628262,0.0478189956175662,0.0456622888085307,0.162187864840841,0.070803090764661,0.0439049482288351,0.0433175170794318,0.0574308868268211,1.13968695698286,1.13580420805788,1.13595868445731,1.28882904441344,1.12534831932947
0.3,1,0,4,-0.8,0.0644871408085622,0.0716406885536682,0.055215823182238,0.0727771132855376,0.0198253507304154,0.153981829621829,0.0896592291091663,0.0803474933034964,0.039215931426416,0.0714223890846064,1.23357141133032,1.1959488545123,1.18854595621176,1.26545506048869,1.17527245913263
0.3,1,0,4,-0.6,0.0985727324039684,0.0901745127476071,0.0685022444391897,0.0995906585040383,0.0105332377311376,0.181561975032706,0.179122392461878,0.10108444259153,0.0543209235782748,0.0940699257785607,1.30829561766531,1.20424228664448,1.18422147665808,1.25765862720337,1.17534845988702
0.3,1,0,4,-0.4,0.16879668089522,0.11635496154992,0.103595599946225,0.12715883602623,0.0104706521493387,0.175969291938299,0.32388886368227,0.130861473153716,0.0954390833173668,0.121199019873842,1.5308715722781,1.34645321618673,1.29579029180171,1.27991166635834,1.2865550115735
0.3,1,0,4,-0.2,0.256129551678317,0.122088920803299,0.142205854284224,0.133806526974614,0.00812563795378552,0.179444547583515,0.514860598602946,0.151076091922097,0.150804145806537,0.127681859368275,1.75741122741842,1.44134574301914,1.33424599232734,1.28186769504337,1.34695378753838
0.3,1,0,4,0,0.348674105863758,0.160873699260492,0.171694352202983,0.172545977903868,0.00349529915949638,0.17467054924943,0.700901668192212,0.185995075931632,0.199431046658116,0.167204100912746,1.98671498727806,1.58119373124137,1.41086420469148,1.24303994001974,1.44593781507668
0.3,1,0,4,0.2,0.40232342364812,0.163017988670807,0.155030024907089,0.175175944534945,0.00384052282269674,0.161613779504479,0.8500449583967,0.189997475051243,0.258493263082492,0.156597833957839,2.14866069984666,1.64508749687296,1.40950351095149,1.25041736116019,1.5072879607073
0.3,1,0,4,0.4,0.59225009403328,0.222821971565848,0.249815614856608,0.228996776508087,0.00505251007984257,0.175174712869451,1.12035068691506,0.233184992237501,0.382715960126953,0.216772058086327,2.46083773158093,1.89253430774782,1.54307283543862,1.25311644499418,1.68129697740502
0.3,1,0,4,0.6,0.720830057303963,0.205419272331647,0.246725289635636,0.210290070622264,0.0121707668359394,0.178981537370289,1.3571538867973,0.230557532741176,0.471647993164317,0.200937271685613,2.74888307667336,2.03486097827797,1.5392176749192,1.2727648195393,1.79511296476437
0.3,1,0,4,0.8,0.736462281127928,0.20518571074743,0.243756682460629,0.189725531575893,0.00738776134973001,0.17584540174262,1.4342254698072,0.219920002224918,0.483245288473674,0.20090684435891,2.72420029971328,1.97673355201729,1.46115760625586,1.24107777461417,1.73028188944592
0.3,1,0,4,1,1.02685170608519,0.262832285678775,0.288010377091154,0.244665872246152,0.0103777743094734,0.152747477930226,1.85483087648375,0.265225412159727,0.726854769207514,0.260928190734714,3.19681330352045,2.34883629421618,1.58893748221093,1.23212750588691,2.09317941821256
0.4,1,0,4,-1,0.0935537072352871,0.0439345222401467,0.0925476395651629,0.0463388203436063,0.0689398671756224,0.142608129555896,0.0965381017372138,0.0438602740908138,0.0741757789685605,0.0550162186625867,1.18897687316975,1.18766961110409,1.18956572998735,1.34139436330882,1.1811366246098
