"n","p_n","p","contamination_level","ctam_sigma","ctam_mu","cook_cutoff","robust_m_est_bias","robust_m_est_variance","robust_m_est_mse","robust_mm_est_bias","robust_mm_est_variance","robust_mm_est_mse","robust_s_est_bias","robust_s_est_variance","robust_s_est_mse","ols_est_bias","ols_est_variance","ols_est_mse","ols_diag_est_bias","ols_diag_est_variance","ols_diag_est_mse","ols_mspe","robust_m_mspe","robust_mm_mspe","robust_s_mspe","ols_diag_mspe"
200,0.1,20,0.5,1,0,4,1.06598425255084,0.549499695655118,1.61438494881465,1.06513655699772,0.65593613347717,1.71976081820794,1.06913230505739,0.909655313276666,1.97696830770751,1.06416607677257,0.489651472221984,1.55283824605011,1.06616008764773,0.609700156419779,1.67464084375467,3.84098467581696,3.29143446459627,2.88129756699681,2.19834338645749,2.99002106062576
200,0.1,20,0.6,1,0,4,1.68800513668829,0.469880683533732,2.15694605885496,1.67866113995246,0.546237132109945,2.22380579779819,1.67694463074046,0.788938325870346,2.46430507995906,1.69109600911742,0.431725371115772,2.12195792949096,1.68606384638197,0.51957600235882,2.20460069673608,4.5182059910587,4.09911592268668,3.84811161031481,3.22612822704676,3.79806195680502
200,0.2,40,0,1,0,4,0.854034654145883,1.00757873304589,1.85959822972568,0.853277495118049,1.01299703063033,1.86424853168712,0.853458268531132,1.02379913658491,1.87520980684288,0.853882909237482,1.00773085343241,1.85959830096302,0.854908396317687,1.00903357720875,1.86192390637202,1.25537100707071,1.27409208446446,1.51753972512052,1.9917788949981,1.33883003497037
200,0.2,40,0.1,1,0,4,1.02418320533376,0.956134861001484,1.97840579661324,1.02601056686661,1.00287322444191,2.02687804485963,1.02733445713867,1.01888748733622,2.04418416950022,1.02261180288859,0.887834652334567,1.90867078591849,1.02574323984353,0.982118907616938,2.00589790964523,2.60718256548467,1.51559456738988,1.59036474016721,2.04260540343415,1.41516580853154
200,0.2,40,0.2,1,0,4,1.20456600822059,0.888810681414717,2.09159906827247,1.20372113019764,0.992653829163945,2.19438965170326,1.20593386925483,1.01438749194084,2.21829258621179,1.2061510312061,0.77909579712121,1.98368863673307,1.20452513575047,0.936454031030155,2.13910625871856,4.0047397583902,2.11186702577214,1.80149846188627,2.16440016269118,1.93061429769117
200,0.2,40,0.4,1,0,4,1.0115668262086,0.67781142131812,1.68802262468408,1.01354349571095,0.852015900490525,1.86385536440049,1.01124502771216,0.967920952828552,1.97723013863505,1.01156438296705,0.59975107788239,1.61011595869368,1.00856472356161,0.754849106569427,1.7619041319179,6.61549544748164,5.04506877978704,4.00976337060267,3.41453441499649,4.4073781304892
200,0.2,40,0.5,1,0,4,0.828113627564604,0.581827307982733,1.40877728093137,0.826202361744427,0.717108000670598,1.54187614641368,0.826124541596876,0.885166877183987,1.7095210850265,0.828060870870147,0.528470589502262,1.35547451919341,0.826751794998387,0.654753179682422,1.48019546832144,7.82658153890316,6.70146367646997,6.16595097804712,5.8820799447451,5.93088476468334
200,0.2,40,0.6,1,0,4,1.43865559759651,0.512954775008708,1.9505844630552,1.43871394430105,0.623825133987862,2.06129142802094,1.44305458321517,0.793137563547861,2.23460587163594,1.43641590092272,0.476945690119759,1.91240769966224,1.44144152896605,0.576789202115244,2.01707715267707,9.0316315303343,8.27003498104471,8.71402886349206,9.7513126031869,7.6358973438272
200,0.3,60,0,1,0,4,0.732346275434278,1.0054176320585,1.73575307222866,0.732645239714812,1.01026832382859,1.74089302689575,0.734021940846277,1.02222001235317,1.75419751317474,0.732332216915556,1.00499449200391,1.73531671993545,0.732788810056411,1.00700830360244,1.73778309705165,1.44353947467634,1.47712003782832,1.82333088096448,2.52282100984952,1.59265929733598
200,0.3,60,0.1,1,0,4,1.13395198462456,0.97020771459548,2.10221928379085,1.13393575890957,1.01397559629518,2.14588340401216,1.13391744876855,1.02644363142314,2.15830819292885,1.13356323516235,0.914344265278254,2.04607881191005,1.13304297094183,0.991046827877823,2.1221077051639,4.346312243696,2.00034670911829,1.96022961959416,2.70974080206472,1.8472238582218
